trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Anvil,Lorn,209332,glitch hop,0.384,0.455,6.0,-10.773,0.0,0.0348,0.414,0.838,0.0933,0.0359,100.018,audio_features,4eKN8RPS06OHyk8dTdempU,spotify:track:4eKN8RPS06OHyk8dTdempU,https://api.spotify.com/v1/tracks/4eKN8RPS06OHyk8dTdempU,https://api.spotify.com/v1/audio-analysis/4eKN8RPS06OHyk8dTdempU,209333.0,4.0
BARTA,Lorn,340940,glitch hop,0.675,0.568,1.0,-9.982,0.0,0.0393,0.181,0.952,0.122,0.461,146.002,audio_features,3k2apDc7IgQL2dbUxQKkaQ,spotify:track:3k2apDc7IgQL2dbUxQKkaQ,https://api.spotify.com/v1/tracks/3k2apDc7IgQL2dbUxQKkaQ,https://api.spotify.com/v1/audio-analysis/3k2apDc7IgQL2dbUxQKkaQ,126828.0,4.0
Conduit,Lorn,654705,glitch hop,0.639,0.348,8.0,-8.708,1.0,0.0343,0.0425,0.736,0.387,0.174,145.022,audio_features,26yVoHwBO4DpVk2HruUiR9,spotify:track:26yVoHwBO4DpVk2HruUiR9,https://api.spotify.com/v1/tracks/26yVoHwBO4DpVk2HruUiR9,https://api.spotify.com/v1/audio-analysis/26yVoHwBO4DpVk2HruUiR9,215359.0,4.0
Ghosst,Lorn,1027716,glitch hop,0.238,0.537,8.0,-9.219,1.0,0.0477,0.569,0.367,0.087,0.0839,114.169,audio_features,2jUfLr32m2y9XVuHSJfj98,spotify:track:2jUfLr32m2y9XVuHSJfj98,https://api.spotify.com/v1/tracks/2jUfLr32m2y9XVuHSJfj98,https://api.spotify.com/v1/audio-analysis/2jUfLr32m2y9XVuHSJfj98,260005.0,4.0
Jewels and Gems,Two Fingers,11350,glitch hop,0.696,0.789,4.0,-6.555,0.0,0.167,0.0205,0.00145,0.343,0.48,100.002,audio_features,4pmvwzPCc4cBPtqMmvdFT1,spotify:track:4pmvwzPCc4cBPtqMmvdFT1,https://api.spotify.com/v1/tracks/4pmvwzPCc4cBPtqMmvdFT1,https://api.spotify.com/v1/audio-analysis/4pmvwzPCc4cBPtqMmvdFT1,232173.0,4.0
Jewels and Gems - Instrumental,Two Fingers,2420,glitch hop,0.647,0.683,6.0,-10.213,0.0,0.0541,4.69e-05,0.824,0.0808,0.247,100.029,audio_features,7cqNhYercayAfkZME0kvxr,spotify:track:7cqNhYercayAfkZME0kvxr,https://api.spotify.com/v1/tracks/7cqNhYercayAfkZME0kvxr,https://api.spotify.com/v1/audio-analysis/7cqNhYercayAfkZME0kvxr,241009.0,4.0
Keman Rhythm,Two Fingers,3630,glitch hop,0.681,0.89,7.0,-7.689,1.0,0.116,0.0137,0.883,0.352,0.123,107.28,audio_features,2SQNQt6UvRYNZp8SiREWcx,spotify:track:2SQNQt6UvRYNZp8SiREWcx,https://api.spotify.com/v1/tracks/2SQNQt6UvRYNZp8SiREWcx,https://api.spotify.com/v1/audio-analysis/2SQNQt6UvRYNZp8SiREWcx,196400.0,4.0
My Drum Machine,Lorn,52660,glitch hop,0.735,0.835,4.0,-7.199,0.0,0.0612,0.00019,0.839,0.573,0.243,125.008,audio_features,7HgBbYGbRbPIB3ICy6zOgG,spotify:track:7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/tracks/7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/audio-analysis/7HgBbYGbRbPIB3ICy6zOgG,257520.0,4.0
Soft Room,Lorn,11130,glitch hop,0.417,0.868,6.0,-7.993,0.0,0.0451,0.0775,0.792,0.305,0.199,79.705,audio_features,4fhOIWpXUpCfbOQNKfypYz,spotify:track:4fhOIWpXUpCfbOQNKfypYz,https://api.spotify.com/v1/tracks/4fhOIWpXUpCfbOQNKfypYz,https://api.spotify.com/v1/audio-analysis/4fhOIWpXUpCfbOQNKfypYz,143173.0,4.0
Tailor-Made - Floating Points Remix,Daedelus,3880,glitch hop,0.627,0.629,8.0,-8.781,1.0,0.0406,0.0211,0.189,0.0765,0.0479,140.025,audio_features,5iHBTMOKHRMCJr25NgC0PT,spotify:track:5iHBTMOKHRMCJr25NgC0PT,https://api.spotify.com/v1/tracks/5iHBTMOKHRMCJr25NgC0PT,https://api.spotify.com/v1/audio-analysis/5iHBTMOKHRMCJr25NgC0PT,446098.0,4.0
Anvil,Lorn,209332,glitch hop,0.384,0.455,6.0,-10.773,0.0,0.0348,0.414,0.838,0.0933,0.0359,100.018,audio_features,4eKN8RPS06OHyk8dTdempU,spotify:track:4eKN8RPS06OHyk8dTdempU,https://api.spotify.com/v1/tracks/4eKN8RPS06OHyk8dTdempU,https://api.spotify.com/v1/audio-analysis/4eKN8RPS06OHyk8dTdempU,209333.0,4.0
BARTA,Lorn,340940,glitch hop,0.675,0.568,1.0,-9.982,0.0,0.0393,0.181,0.952,0.122,0.461,146.002,audio_features,3k2apDc7IgQL2dbUxQKkaQ,spotify:track:3k2apDc7IgQL2dbUxQKkaQ,https://api.spotify.com/v1/tracks/3k2apDc7IgQL2dbUxQKkaQ,https://api.spotify.com/v1/audio-analysis/3k2apDc7IgQL2dbUxQKkaQ,126828.0,4.0
Conduit,Lorn,654705,glitch hop,0.639,0.348,8.0,-8.708,1.0,0.0343,0.0425,0.736,0.387,0.174,145.022,audio_features,26yVoHwBO4DpVk2HruUiR9,spotify:track:26yVoHwBO4DpVk2HruUiR9,https://api.spotify.com/v1/tracks/26yVoHwBO4DpVk2HruUiR9,https://api.spotify.com/v1/audio-analysis/26yVoHwBO4DpVk2HruUiR9,215359.0,4.0
Ghosst,Lorn,1027716,glitch hop,0.238,0.537,8.0,-9.219,1.0,0.0477,0.569,0.367,0.087,0.0839,114.169,audio_features,2jUfLr32m2y9XVuHSJfj98,spotify:track:2jUfLr32m2y9XVuHSJfj98,https://api.spotify.com/v1/tracks/2jUfLr32m2y9XVuHSJfj98,https://api.spotify.com/v1/audio-analysis/2jUfLr32m2y9XVuHSJfj98,260005.0,4.0
Jewels and Gems,Two Fingers,11350,glitch hop,0.696,0.789,4.0,-6.555,0.0,0.167,0.0205,0.00145,0.343,0.48,100.002,audio_features,4pmvwzPCc4cBPtqMmvdFT1,spotify:track:4pmvwzPCc4cBPtqMmvdFT1,https://api.spotify.com/v1/tracks/4pmvwzPCc4cBPtqMmvdFT1,https://api.spotify.com/v1/audio-analysis/4pmvwzPCc4cBPtqMmvdFT1,232173.0,4.0
Jewels and Gems - Instrumental,Two Fingers,2420,glitch hop,0.647,0.683,6.0,-10.213,0.0,0.0541,4.69e-05,0.824,0.0808,0.247,100.029,audio_features,7cqNhYercayAfkZME0kvxr,spotify:track:7cqNhYercayAfkZME0kvxr,https://api.spotify.com/v1/tracks/7cqNhYercayAfkZME0kvxr,https://api.spotify.com/v1/audio-analysis/7cqNhYercayAfkZME0kvxr,241009.0,4.0
Keman Rhythm,Two Fingers,3630,glitch hop,0.681,0.89,7.0,-7.689,1.0,0.116,0.0137,0.883,0.352,0.123,107.28,audio_features,2SQNQt6UvRYNZp8SiREWcx,spotify:track:2SQNQt6UvRYNZp8SiREWcx,https://api.spotify.com/v1/tracks/2SQNQt6UvRYNZp8SiREWcx,https://api.spotify.com/v1/audio-analysis/2SQNQt6UvRYNZp8SiREWcx,196400.0,4.0
My Drum Machine,Lorn,52660,glitch hop,0.735,0.835,4.0,-7.199,0.0,0.0612,0.00019,0.839,0.573,0.243,125.008,audio_features,7HgBbYGbRbPIB3ICy6zOgG,spotify:track:7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/tracks/7HgBbYGbRbPIB3ICy6zOgG,https://api.spotify.com/v1/audio-analysis/7HgBbYGbRbPIB3ICy6zOgG,257520.0,4.0
Soft Room,Lorn,11130,glitch hop,0.417,0.868,6.0,-7.993,0.0,0.0451,0.0775,0.792,0.305,0.199,79.705,audio_features,4fhOIWpXUpCfbOQNKfypYz,spotify:track:4fhOIWpXUpCfbOQNKfypYz,https://api.spotify.com/v1/tracks/4fhOIWpXUpCfbOQNKfypYz,https://api.spotify.com/v1/audio-analysis/4fhOIWpXUpCfbOQNKfypYz,143173.0,4.0
Tailor-Made - Floating Points Remix,Daedelus,3880,glitch hop,0.627,0.629,8.0,-8.781,1.0,0.0406,0.0211,0.189,0.0765,0.0479,140.025,audio_features,5iHBTMOKHRMCJr25NgC0PT,spotify:track:5iHBTMOKHRMCJr25NgC0PT,https://api.spotify.com/v1/tracks/5iHBTMOKHRMCJr25NgC0PT,https://api.spotify.com/v1/audio-analysis/5iHBTMOKHRMCJr25NgC0PT,446098.0,4.0
